experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Senior,Full-time,280000,United States,M,Machine Learning and AI
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,160000,United States,M,Data Science and Research
Entry-level,Full-time,184180,United States,M,Data Analysis
Entry-level,Full-time,159870,United States,M,Data Analysis
Senior,Full-time,195000,United States,M,Data Science and Research
Senior,Full-time,110000,United States,M,Data Science and Research
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,220000,United States,M,Data Science and Research
Senior,Full-time,137500,United States,M,Data Science and Research
Senior,Full-time,212000,United States,M,Machine Learning and AI
Senior,Full-time,93300,United States,M,Machine Learning and AI
Senior,Full-time,212000,United States,M,Data Science and Research
Senior,Full-time,93300,United States,M,Data Science and Research
Entry-level,Full-time,291900,United States,M,Data Analysis
Entry-level,Full-time,103800,United States,M,Data Analysis
Senior,Full-time,234000,United States,M,Data Science and Research
Senior,Full-time,146000,United States,M,Data Science and Research
Senior,Full-time,212000,United States,M,Data Science and Research
Senior,Full-time,93300,United States,M,Data Science and Research
Mid-level,Full-time,160000,United States,M,Data Science and Research
Mid-level,Full-time,70000,United States,M,Data Science and Research
Senior,Full-time,179000,United States,M,Data Science and Research
Senior,Full-time,112000,United States,M,Data Science and Research
Entry-level,Full-time,145000,United States,M,Data Management and Strategy
Entry-level,Full-time,120000,United States,M,Data Management and Strategy
Mid-level,Full-time,142100,United States,M,Data Science and Research
Mid-level,Full-time,94700,United States,M,Data Science and Research
Mid-level,Full-time,166000,United States,M,Machine Learning and AI
Mid-level,Full-time,73100,United States,M,Machine Learning and AI
Senior,Full-time,145000,United States,M,Data Science and Research
Senior,Full-time,128000,United States,M,Data Science and Research
Entry-level,Full-time,90000,United States,M,Data Analysis
Entry-level,Full-time,75000,United States,M,Data Analysis
Mid-level,Full-time,99000,United States,M,Data Science and Research
Mid-level,Full-time,87000,United States,M,Data Science and Research
Executive,Full-time,334075,Canada,M,Data Engineering
Executive,Full-time,268500,Canada,M,Data Engineering
Senior,Full-time,230000,United States,M,Data Science and Research
Senior,Full-time,195000,United States,M,Data Science and Research
Senior,Full-time,212000,United States,M,Data Science and Research
Senior,Full-time,93300,United States,M,Data Science and Research
Entry-level,Full-time,110500,United States,M,Data Quality and Operations
Entry-level,Full-time,69000,United States,M,Data Quality and Operations
Senior,Full-time,100000,United States,M,Data Management and Strategy
Senior,Full-time,85000,United States,M,Data Management and Strategy
Mid-level,Full-time,107690,United States,M,BI and Visualization
Mid-level,Full-time,78300,United States,M,BI and Visualization
Entry-level,Full-time,131000,United States,M,Leadership and Management
Entry-level,Full-time,110000,United States,M,Leadership and Management
